movie_id,person_id,role_type,character_name
36,272,actor,Mailperson
36,273,actor,Coroner
36,274,actor,Bill Williams
36,275,actor,Shooter
36,276,actor,Micky Ventura
36,277,actor,Debra Gale
36,278,actor,Sheriff
36,279,actor,Nick Ventura
36,280,actor,Harold Noolin (Noodle)
36,281,actor,Corky
36,282,director,
38,283,actor,Killer
38,284,actor,Drunkard
38,286,actor,Wife of Murder Victim
38,287,actor,Murder Victim
38,293,director,
39,294,director,
40,295,actor,Pandit Omkarnath Dhar
40,296,actor,Daanish Ali
40,297,actor,Ruhana Ali
40,298,actor,S.P
40,299,actor,Yazaad Qureshi
40,300,actor,Wazir
40,301,actor,Sartaj
40,302,actor,DCP
40,303,actor,Mahesh
40,304,actor,Rameez
40,305,director,
41,306,actor,Joe Flood
41,307,actor,Vasily Petrov
41,308,actor,Petrov's Date
41,309,actor,Petrov's Lead Bodyguard
41,310,actor,Petrov's Bodyguard
41,311,actor,Petrov's Bodyguard
41,312,actor,Maize Arnaud
41,313,actor,Opera House Security Guard
41,314,actor,Opera House Security Guard
41,315,actor,Dr. Kagen
41,316,director,
42,317,actor,Paul Bunyan
42,318,actor,Babe the Blue Ox
42,319,actor,The Amazing Blackstone
42,319,actor,Norm Blandsford
42,320,actor,Travis Barclay
42,321,actor,Whitney
42,322,actor,Grandma
42,322,actor,Mom
42,322,actor,Tourist Mom
42,323,actor,Grandpa
42,324,actor,Iris Ingram
42,325,actor,Sherriff
42,326,actor,Gustav
42,327,director,
43,328,actor,Ashima
43,329,actor,Ahei
43,330,actor,Rebubala
43,331,actor,Azhi
43,332,actor,Azhi's Mother
43,333,actor,Ashima's Mother
43,334,director,
44,337,director,
45,95,actor,Assis Chateaubriand
45,338,actor,Vivi Sampaio
45,339,actor,Getúlio Vargas
45,340,actor,Maria Eudóxia
45,341,actor,Lola
45,342,actor,Carlos Rosemberg
45,343,actor,Consuelo
45,344,actor,Germana de Almeida
45,345,actor,Teddy
45,346,actor,Manuel
45,347,director,
46,348,actor,John Peterson
46,349,actor,Lydia
46,350,actor,Dennis Peterson
46,351,actor,Cadaver
46,352,actor,Dr. Preston
46,353,actor,Ice Cream Sue
46,354,actor,Mildy Torres
46,355,actor,Giant at Overlook Cafe
46,356,actor,Pete
46,357,actor,Cop #1
46,358,director,
47,359,actor,Chica ruptura cafetería
47,361,actor,Figuración
47,362,actor,Mujer Policía
47,363,actor,Golfilla
47,364,actor,Duna
47,365,actor,Chico ruptura cafetería
47,366,actor,Amaury Brigante
47,367,actor,Marta
47,368,actor,Melchor
47,369,director,
48,295,actor,Shiv Shankar
48,370,actor,Suraj
48,371,actor,Kajol
48,372,actor,Dr. Madan
48,378,actor,Sunil
48,379,director,
49,380,director,
50,387,director,
51,388,actor,Guy Montag
51,389,actor,Child Montag
51,390,actor,Yuxie
51,391,actor,Captain Beatty
51,392,actor,Newscaster
51,393,actor,Fireman Douglas
51,394,actor,Fireman Stone
51,395,actor,Girl Eel
51,396,actor,Guy Eel
51,397,actor,Reciting Child
51,398,director,
52,399,actor,Doctor
52,400,actor,Paramveer
52,403,actor,Amar
52,405,actor,Colonel Ranjeet
52,406,actor,Sher Singh
52,407,actor,Geeta
52,408,actor,Vikram
52,409,director,
53,410,actor,Violet
53,411,actor,Clint
53,412,actor,Will
53,413,actor,Pauletta
53,414,actor,Richard
53,415,actor,Zoe
53,416,actor,Wendy
53,417,actor,Natasha
53,418,actor,Bill
53,419,actor,Aunt Yvette
53,420,director,
54,422,actor,Kirschbaum
54,423,actor,Prestige perfume brand customer
54,424,actor,Prestige Perfume Brand Customer
54,425,director,
55,426,actor,Owen Grady
55,427,actor,Claire Dearing
55,428,actor,Gray
55,429,actor,Karen
55,430,actor,Masrani
55,431,actor,Vic Hoskins
55,432,actor,Zach
55,433,actor,Lowery
55,434,actor,Barry
55,435,actor,Dr. Henry Wu
55,436,director,
56,437,actor,Sonja
56,438,actor,Kristen
56,439,director,
57,440,"actor,director",Swede Levov
57,441,actor,Dawn Levov
57,442,actor,Merry Levov
57,443,actor,Lou Levov
57,444,actor,Jerry Levov
57,445,actor,Vicky
57,446,actor,Sheila Smith
57,447,actor,Rita Cohen
57,448,actor,Merry (12 Years Old)
57,449,actor,Sylvia Levov
58,450,"actor,director",Lionel Essrog
58,451,actor,Laura Rose
58,452,actor,Moses Randolph
58,453,actor,Paul Randolph
58,454,actor,Frank Minna
58,455,actor,Gilbert Coney
58,456,actor,Gabby Horowitz
58,457,actor,Tony Vermonte
58,458,actor,Danny Fantl
58,459,actor,William Lieberman
59,460,director,
60,461,actor,Daniel Culp
60,461,actor,8612
60,462,actor,Peter Mitchell
60,462,actor,819
60,463,actor,Dr. Philip Zimbardo
60,464,actor,Dr. Christina Maslach
60,465,actor,Christopher Archer
60,466,actor,Anthony Carroll
60,467,actor,Karl Vandy
60,468,actor,Paul Vogel
60,469,actor,John Lovett
60,470,actor,Gavin Lee
60,470,actor,3401
60,471,director,
61,472,actor,The Sorceress
61,473,actor,Man-At-Arms
61,473,actor,Duncan
61,474,actor,Roboto
61,475,actor,Evil-Lyn
61,476,actor,King Randor
61,477,actor,Skeletor
61,478,actor,He-Man
61,478,actor,Prince Adam of Eternia
61,479,actor,Queen Marlena
61,480,actor,Teela
61,481,actor,Suzie
61,482,director,
62,483,actor,James Frey
62,484,actor,Leonard
62,485,actor,Lilly
62,486,actor,John
62,487,actor,Joanne
62,488,actor,Lincoln
62,489,actor,Miles
62,490,actor,Hank
62,491,actor,Roy
62,492,actor,Dr. Baker
62,493,director,
63,494,actor,Alita
63,495,actor,Dr. Dyson Ido
63,441,actor,Chiren
63,496,actor,Vector
63,497,actor,Zapan
63,498,actor,Grewishka
63,499,actor,Hugo
63,500,actor,Tanji
63,501,actor,Koyomi
63,502,actor,Nurse Gerhad
63,503,director,
64,504,actor,Narrator
64,505,director,
65,461,actor,Barry Allen
65,461,actor,The Flash
65,506,actor,Bruce Wayne
65,506,actor,Batman
65,507,actor,Kara Zor-El
65,507,actor,Supergirl
65,391,actor,General Zod
65,508,actor,Henry Allen
65,509,actor,Nora Allen
65,510,actor,Iris West
65,511,actor,Alfred Pennyworth
65,512,actor,Faora-Ul
65,513,actor,Patty
65,514,director,
66,515,actor,Major Harry Smith
66,516,actor,Private Bill 'Yank' Akell
66,517,actor,Warrant Officer Class 2 Jack Kirby
66,518,actor,Captain Morrie Stanley
66,519,actor,Bombardier Ray Ngatai
66,520,actor,Gunner Murry Watene
66,521,actor,Sergeant Bob Buick
66,522,actor,Private Vic Grice
66,523,actor,Second Lieutenant Gordon Sharp
66,524,actor,Private Barry 'Custard' Meller
66,525,director,
67,526,actor,Alma Mereminski
67,527,actor,Bruno Leibovitch
67,528,actor,Léo Gursky
67,529,actor,Alma Singer
67,530,actor,Charlotte Singer
67,531,actor,Young Leo
67,532,actor,Chinatown Tourist
67,533,actor,Jeff
67,534,actor,Misha Strumann
67,535,actor,Isaac Moritz
67,536,director,
68,537,"actor,director",Kate
68,538,actor,Mark
68,539,actor,Walter
68,540,actor,Charlie
68,541,actor,Clare
68,542,actor,Suzanne
68,543,actor,Carlos
68,544,actor,Jerome
68,545,actor,Sam
68,546,actor,Laurie
69,547,actor,Shazam
69,548,actor,Dr. Sivana
69,549,actor,Billy Batson
69,550,actor,Freddy Freeman
69,551,actor,Super Hero Freddy
69,552,actor,Wizard
69,553,actor,Darla Dudley
69,554,actor,Super Hero Darla
69,555,actor,Mary Bromfield
69,556,actor,Super Hero Mary
69,557,director,
70,558,actor,Jim
70,559,actor,Tamara
70,560,actor,Sandra
70,561,actor,Donna
70,562,actor,Dark Annie
70,563,actor,Emma
70,564,actor,Ance
70,565,actor,Mike
70,566,actor,Dr. Jones
70,567,actor,Sheila
70,568,director,
71,569,actor,Elkiar
71,570,actor,Brian
71,571,actor,Eric
71,572,actor,Dawson
71,573,actor,Rita
71,574,actor,Jack McDonald
71,575,actor,Tag
71,576,actor,Mister Edam
71,577,actor,Billy
71,578,actor,Tonia
71,579,director,
72,580,actor,Diana
72,581,actor,Steve Trevor
72,582,actor,Antiope
72,583,actor,Etta
72,584,actor,Hippolyta
72,585,actor,Ludendorff
72,586,actor,Sir Patrick
72,587,actor,Sameer
72,588,actor,Charlie
72,589,actor,The Chief
72,590,director,
73,591,director,
74,592,actor,Thomas Webb
74,593,actor,Johanna
74,594,actor,Ethan Webb
74,595,actor,Judith Webb
74,596,actor,W.F. Gerald
74,510,actor,Mimi Pastori
74,597,actor,George
74,598,actor,David
74,599,actor,Barbara
74,600,actor,Anna
74,601,director,
75,602,actor,Laing
75,511,actor,Royal
75,603,actor,Charlotte
75,604,actor,Wilder
75,605,actor,Helen
75,476,actor,Pangbourne
75,606,actor,Ann
75,607,actor,Cosgrove
75,608,actor,Jane
75,609,actor,Steele
75,610,director,
76,611,actor,Akash
76,612,actor,Gauri
76,613,actor,Vishnu Waghmare
76,615,actor,inspector Kabir
76,617,actor,Item number Song Dancer
76,618,actor,Doctor
76,619,director,
77,627,director,
78,628,actor,Grace
78,629,actor,Keith
78,630,actor,Sal
78,631,actor,Emilio
78,632,actor,Comedian
78,633,actor,Nervous Guy
78,634,actor,Brittany
78,635,actor,Nancy
78,636,actor,Marina del Rey
78,637,actor,Amber
78,638,director,
79,639,actor,Eddie Mannix
79,45,actor,Baird Whitlock
79,640,actor,Hobie Doyle
79,641,actor,Laurence Laurentz
79,642,actor,DeeAnna Moran
79,643,actor,Thora Thacker
79,643,actor,Thessaly Thacker
79,644,actor,Burt Gurney
79,645,actor,C.C. Calhoun
79,646,actor,Joe Silverman
79,647,actor,Carlotta Valdez
79,648,director,
79,649,director,
80,650,actor,Shekhar
80,651,actor,Jaya
80,652,actor,Sapna
80,653,actor,Raj
80,654,director,
81,655,actor,Scott Lang
81,655,actor,Ant-Man
81,656,actor,Dr. Hank Pym
81,657,actor,Darren Cross
81,657,actor,Yellowjacket
81,658,actor,Hope van Dyne
81,457,actor,Paxton
81,659,actor,Sam Wilson
81,659,actor,Falcon
81,429,actor,Maggie Lang
81,660,actor,Cassie Lang
81,661,actor,Luis
81,491,actor,Kurt
81,662,director,
82,663,actor,Rodrigues
82,664,actor,Garupe
82,665,actor,Ferreira
82,268,actor,Interpreter
82,666,actor,Father Valignano
82,667,actor,Old Samurai
82,667,actor,Inoue
82,668,actor,Mokichi
82,669,actor,Ichizo
82,670,actor,Kichijiro
82,671,actor,Unzen Samurai (Uneme)
82,672,director,
83,673,actor,Gardner
83,674,actor,Rose
83,674,actor,Margaret
83,675,actor,Bud Cooper
83,676,actor,Nicky
83,677,actor,Mailman Henry
83,678,actor,Cowboy Kid
83,679,actor,Kid on Bike
83,680,actor,Mrs. Pendalton
83,681,actor,Mrs. Mayers
83,682,actor,Mayor Billings
83,45,director,
84,683,actor,Sophia Sandvoort
84,684,actor,Jan van Loos
84,685,actor,Willem Brok
84,686,actor,Maria
84,687,actor,Dr. Sorgh
84,688,actor,Mattheus
84,689,actor,Johan De Bye
84,690,actor,Nicholas Steen
84,691,actor,Mrs. Overvalt
84,692,actor,Gerrit
84,693,director,
85,694,actor,Nina Simone
85,695,actor,Clifton Henderson
85,696,actor,"Gilles, Lead Guitarist"
85,697,actor,Henri Edwards
85,698,actor,Nina's Husband
85,699,actor,Head Nurse
85,700,actor,Richard Pryor
85,701,actor,Clifton's Father
85,702,actor,Clifton's Mom
85,703,actor,Clifton's Brother
85,704,director,
86,661,actor,Ponch
86,705,"actor,director",Jon
86,431,actor,Ray Kurtz
86,494,actor,Ava Perez
86,262,actor,Lindsey Taylor
86,551,actor,Clay Allen
86,706,actor,Peterson
86,707,actor,Parish
86,708,actor,Brian Grieves
86,709,actor,Captain Jane Lindel
87,710,actor,Julia
87,711,actor,Holt
87,712,actor,Gabriel
87,431,actor,Burke
87,713,actor,Skye
87,714,actor,Samara
87,715,actor,Blue
87,716,actor,Jamal
87,717,actor,Carter
87,718,actor,Faith
87,719,director,
88,720,actor,Mr. Twit
88,721,actor,Mrs. Twit
88,722,actor,Pippa
88,723,actor,Jeremy
88,724,actor,Sweet-Toed Toad
88,725,actor,Beesha Balti
88,726,actor,Bubsy Mulch
88,727,"actor,director",Mr. Napkin
88,728,actor,Wayne John John-John
88,729,actor,Tuna Remnant
88,730,director,
88,731,director,
89,388,actor,John Kelly
89,732,actor,Karen Greer
89,733,actor,Robert Ritter
89,734,actor,Secretary Clay
89,735,actor,Pam Kelly
89,736,actor,Hatchet
89,737,actor,Dallas
89,738,actor,Thunder
89,739,actor,CIA Director Dillard
89,740,actor,Keith Webb
89,741,director,
90,742,actor,Moe
90,743,actor,Tamara
90,744,actor,Eddie
90,745,actor,Martin
90,746,actor,Alice
90,747,actor,Lupe
90,748,actor,Raquel
90,749,actor,Teresa
90,750,actor,Older Man
90,751,actor,Man's Wife
90,752,director,
91,753,actor,Steve
91,754,actor,Pete Ashton
91,755,actor,Tony Masucci
91,756,director,
92,757,actor,Roland
92,758,actor,Ducky
92,758,actor,Delivery Man
92,759,actor,Judy
92,760,actor,Irene
92,760,actor,Darlene
92,760,actor,Hotel Maid
92,761,actor,Lili
92,762,actor,Flight Attendant
92,763,actor,Sylvia
92,764,actor,Jessica
92,765,actor,Regina Martin
92,766,actor,Lady Wilhelmina St. James
92,767,director,
93,768,actor,Clay Riddell
93,769,actor,Tom McCourt
93,770,actor,Alice Waxman
